filing_date,document_score,mean_chunk_score,median_chunk_score,num_chunks,symbol,token_count,pos_rate,neg_rate,lmmd_net,market_cap,ln_market_cap,open,high,low,close,adj_close,volume,ret,vol_20_11,vol_60_11,vol_120_11,volatility,ln_volatility,polarity_conflict,same_sign_nonzero,sent_disagreement_raw,sent_disagreement_abs,document_score_z,lmmd_net_z,sent_disagreement_z,sent_disagreement_abs_z,gpt_valid,document_sent_class,lmmd_sent_class,polarity_conflict_thresh,same_polarity_thresh,either_neutral_thresh
2018-03-16,0.0,0.0,0.0,0,4151.T,1642,0.0140073081607795,0.0097442143727162,0.0042630937880633,1305158768520.0,27.89734581100417,2271.0,2280.0,2235.0,2264.0,1947.9364013671875,1677800.0,0.0080142129574796,0.0269017513482236,0.0187607097094499,0.0174560299283496,0.0187607097094499,-3.9759905051255013,0,0,0.0042630937880633,0.0042630937880633,-0.5272407128254694,0.36956627034087053,0.8968069831663399,0.8968069831663399,0,neutral,positive,0,0,1
2018-03-22,0.0,0.0,0.0,0,4519.T,678,0.0058997050147492,0.0088495575221238,-0.0029498525073746,1052209471320.0,27.6819133276472,1776.6666259765625,1890.0,1776.6666259765625,1880.0,1622.9205322265625,3231300.0,0.0444445928344392,0.0240560450394119,0.0192247619610251,0.0175012813785588,0.0192247619610251,-3.951556145408301,0,0,-0.0029498525073746,0.0029498525073746,-0.5272407128254694,-0.9424506526256022,-0.4152099398001329,0.4152099398001329,0,neutral,neutral,0,0,1
2018-03-23,0.0,0.0,0.0,0,3405.T,1029,0.0077745383867832,0.0038872691933916,0.0038872691933916,646655607000.0,27.195079697612105,1721.0,1734.0,1685.0,1689.0,1293.3265380859375,2389800.0,-0.0468395711244937,0.015137503432617,0.0152592750719377,0.0134765779052807,0.0152592750719377,-4.182567759369714,0,0,0.0038872691933916,0.0038872691933916,-0.5272407128254694,0.3012047148710678,0.8284454276965372,0.8284454276965372,0,neutral,neutral,0,0,1
2018-03-23,0.0,0.0,0.0,0,4452.T,998,0.0100200400801603,0.0090180360721442,0.001002004008016,3753384000000.0,28.95367894899277,7382.0,7418.0,7251.0,7274.0,6134.44482421875,1969800.0,-0.0257164138998546,0.0157405334451849,0.016902110974017,0.0153480964870934,0.016902110974017,-4.080316755148529,0,0,0.001002004008016,0.001002004008016,-0.5272407128254694,-0.22361781886290402,0.30362289396256537,0.30362289396256537,0,neutral,neutral,0,0,1
2018-03-23,0.0,0.0,0.0,0,5108.T,1423,0.0063246661981728,0.0140548137737174,-0.0077301475755446,1784758890000.0,28.210304446406365,2235.0,2255.5,2188.0,2195.0,1654.986083984375,6492600.0,-0.0416941096506424,0.0139115439110015,0.0142074408795953,0.0142321916727755,0.0142074408795953,-4.253989446012614,0,0,-0.0077301475755446,0.0077301475755446,-0.5272407128254694,-1.8119743908210557,-1.2847336779955865,1.2847336779955865,0,neutral,negative,0,0,1
2018-03-23,0.0,0.0,0.0,0,6326.T,682,0.0117302052785923,0.0073313782991202,0.0043988269794721,2166694565500.0,28.404223880463743,1736.0,1762.0,1720.0,1724.5,1448.200927734375,4463600.0,-0.0480263677889293,0.0193719904661985,0.0164997121852887,0.0150339654062626,0.0164997121852887,-4.104412341543575,0,0,0.0043988269794721,0.0043988269794721,-0.5272407128254694,0.39425579898039875,0.9214965118058681,0.9214965118058681,0,neutral,positive,0,0,1
2018-03-26,0.0,0.0,0.0,0,7272.T,2263,0.0114891736632788,0.0097216084843128,0.0017675651789659,348636997116.76025,26.577297094971048,981.6666870117188,996.6666870117188,973.3333129882812,996.6666870117188,741.3513793945312,7400100.0,-0.0016694868160925,0.0207869849974432,0.0179475561836776,0.0155854307961672,0.0179475561836776,-4.020301319072646,0,0,0.0017675651789659,0.0017675651789659,-0.5272407128254694,-0.0843641532023699,0.44287655962309946,0.44287655962309946,0,neutral,neutral,0,0,1
2018-03-27,0.0,0.0,0.0,0,2914.T,2162,0.0101757631822386,0.0046253469010175,0.005550416281221,5914000000000.0,29.408343537358835,2885.0,2960.5,2869.5,2957.0,1839.7611083984373,7430900.0,0.01632573516148,0.012492833449721,0.0117078214089867,0.009882515173537,0.0117078214089867,-4.4474981640280875,0,0,0.005550416281221,0.005550416281221,-0.5272407128254694,0.6037270178576736,1.130967730683143,1.130967730683143,0,neutral,positive,0,0,1
2018-03-27,0.0,0.0,0.0,0,4704.T,707,0.0056577086280056,0.0127298444130127,-0.007072135785007,848772674200.0,27.46705723027839,5960.0,6060.0,5940.0,6050.0,4562.29638671875,949200.0,0.0219594365497179,0.0288338932147998,0.0221950162911029,0.0184924695691322,0.0221950162911029,-3.8078875066976288,0,0,-0.007072135785007,0.007072135785007,-0.5272407128254694,-1.6922836889447859,-1.1650429761193166,1.1650429761193166,0,neutral,negative,0,0,1
2018-03-27,0.0,0.0,0.0,0,4911.T,3521,0.0059642147117296,0.011076398750355,-0.0051121840386253,2616800000000.0,28.592973313170585,6372.0,6546.0,6318.0,6542.0,6034.8388671875,2721200.0,0.034799214114064,0.0230067932750402,0.0222482977497881,0.0184691056789927,0.0222482977497881,-3.805489778924094,0,0,-0.0051121840386253,0.0051121840386253,-0.5272407128254694,-1.3357733595836871,-0.8085326467582178,0.8085326467582178,0,neutral,negative,0,0,1
