Ticker,EventDate,CAR,document_score,lmmd_net,neg_rate,pos_rate,industry,ln_market_cap,ln_volatility,gpt_z,lmmd_z,neg_z,pos_z,disagreement
4151.T,2018-03-16,0.0142522734105444,0.0,0.0042630937880633,0.0097442143727162,0.0140073081607795,医薬品,27.89734581100417,-3.975990505125501,-0.5273079809771164,0.3691501046298066,0.38760861174563305,0.9286764223941649,-0.896458085606923
4519.T,2018-03-22,1.1494703535851886e-05,0.0,-0.0029498525073746,0.0088495575221238,0.0058997050147492,医薬品,27.6819133276472,-3.951556145408301,-0.5273079809771164,-0.9416635073275665,0.1480776272847057,-1.2355269271739562,0.41435552635045014
3405.T,2018-03-23,-0.0163551604244907,0.0,0.0038872691933916,0.0038872691933916,0.0077745383867832,化学,27.195079697612105,-4.182567759369714,-0.5273079809771164,0.3008512466838361,-1.1805008190471422,-0.73506821076222,-0.8281592276609525
4452.T,2018-03-23,0.0377463811382575,0.0,0.001002004008016,0.0090180360721442,0.0100200400801603,化学,28.95367894899277,-4.080316755148529,-0.5273079809771164,-0.22348994818810503,0.19318523800742513,-0.13566513210424985,-0.30381803278901137
5108.T,2018-03-23,-0.002124484393418,0.0,-0.0077301475755446,0.0140548137737174,0.0063246661981728,ゴム製品,28.210304446406365,-4.253989446012614,-0.5273079809771164,-1.810389765346866,1.541707099288443,-1.122089897753973,1.2830817843697495
6326.T,2018-03-23,0.0022167983496067,0.0,0.0043988269794721,0.0073313782991202,0.0117302052785923,機械,28.404223880463743,-4.104412341543575,-0.5273079809771164,0.3938169893681005,-0.2583921422513859,0.3208378792171106,-0.9211249703452169
7272.T,2018-03-26,-0.0088820100250537,0.0,0.0017675651789659,0.0097216084843128,0.0114891736632788,輸送用機器,26.577297094971048,-4.020301319072646,-0.5273079809771164,-0.08436399846325253,0.38155622339104245,0.2564980959522251,-0.44294398251386385
2914.T,2018-03-27,0.0839092001869849,0.0,0.005550416281221,0.0046253469010175,0.0101757631822386,食料品,29.408343537358835,-4.447498164028088,-0.5273079809771164,0.6030960925650419,-0.9828915571281921,-0.09409718001621394,-1.1304040735421583
4704.T,2018-03-27,0.0098714019239848,0.0,-0.007072135785007,0.0127298444130127,0.0056577086280056,情報・通信業,27.46705723027839,-3.8078875066976288,-0.5273079809771164,-1.6908088373132453,1.1869663792682312,-1.300124241736684,1.1635008563361289
4911.T,2018-03-27,0.0580698801490816,0.0,-0.0051121840386253,0.011076398750355,0.0059642147117296,化学,28.592973313170585,-3.805489778924094,-0.5273079809771164,-1.3346254799573614,0.7442810445873391,-1.2183070287933893,0.807317498980245
2502.T,2018-03-28,0.0161534285123648,0.0,0.0122699386503067,0.0040899795501022,0.016359918200409,食料品,27.5100831602534,-4.055919157862199,-0.5273079809771164,1.824239440439484,-1.1262281543141055,1.5566704714722455,-2.3515474214166003
3436.T,2018-03-28,-0.1043486554897402,0.0,-0.0052910052910052,0.0138888888888888,0.0085978835978835,金属製品,27.29157975260972,-3.605764119157128,-0.5273079809771164,-1.367122787177726,1.4972831942088094,-0.5152885259873675,0.8398148062006097
3659.T,2018-03-28,-0.0468623464191964,0.0,0.0068119891008174,0.0068119891008174,0.0136239782016348,情報・通信業,27.38740430029141,-3.67377339592262,-0.5273079809771164,0.8323625748967266,-0.3974508281659501,0.8263522253869434,-1.359670555873843
8804.T,2018-03-28,0.0057146713423854,0.0,0.0083857442348008,0.0020964360587002,0.010482180293501,不動産業,27.24776035226008,-4.195184185723544,-0.5273079809771164,1.1183621605054537,-1.6599695935541976,-0.012303716940290012,-1.64567014148257
2503.T,2018-03-29,-0.0031341312647731,0.0,0.0072568940493468,0.0065312046444121,0.013788098693759,食料品,28.629823198176595,-4.02706478354513,-0.5273079809771164,0.9132154523025089,-0.4726266648228245,0.8701617351015223,-1.4405234332796253
4004.T,2018-03-29,0.0268714831909684,0.0,-0.0030612244897959,0.0122448979591836,0.0091836734693877,化学,29.508177892110744,-3.5938908701069243,-0.5273079809771164,-0.9619032130690127,1.0571292227991287,-0.35892068468852417,0.4345952320918963
4324.T,2018-03-29,0.0389698507673323,0.0,0.0049435028248587,0.0084745762711864,0.0134180790960451,サービス業,27.92451613541914,-4.092054242410949,-0.5273079809771164,0.49280129938420597,0.04768200841479931,0.7713905399215555,-1.0201092803613223
4755.T,2018-03-29,0.002418052966054,0.0,0.0033046926635822,0.0132187706543291,0.0165234633179114,サービス業,27.775526310856467,-4.065405492226053,-0.5273079809771164,0.19497921963657383,1.31786906428512,1.6003263935405954,-0.7222872006136902
