Ticker,EventDate,CAR
4151.T,2018-03-16,0.014252273410544419
4519.T,2018-03-22,1.1494703535851886e-05
3405.T,2018-03-23,-0.016355160424490794
4452.T,2018-03-23,0.0377463811382575
5108.T,2018-03-23,-0.002124484393418058
6326.T,2018-03-23,0.0022167983496067557
7272.T,2018-03-26,-0.008882010025053764
2914.T,2018-03-27,0.08390920018698492
4704.T,2018-03-27,0.009871401923984852
4911.T,2018-03-27,0.05806988014908168
2502.T,2018-03-28,0.01615342851236482
3436.T,2018-03-28,-0.10434865548974023
3659.T,2018-03-28,-0.046862346419196475
8804.T,2018-03-28,0.005714671342385418
2503.T,2018-03-29,-0.0031341312647731306
4004.T,2018-03-29,0.02687148319096845
4324.T,2018-03-29,0.03896985076733231
4755.T,2018-03-29,0.002418052966054015
5101.T,2018-03-29,0.009332793984192444
5201.T,2018-03-29,0.02829187686936772
5301.T,2018-03-29,0.03655294943949376
6361.T,2018-03-29,0.033161861510439476
6723.T,2018-03-29,0.002894362755653402
7751.T,2018-03-29,-0.00646860290489183
2501.T,2018-03-30,0.014078147676737849
4578.T,2018-03-30,0.016406671681670256
5214.T,2018-03-30,-0.0017111785601280575
1928.T,2018-04-27,0.02103933545777256
9843.T,2018-05-18,-0.008141872511717125
7453.T,2018-05-24,-0.010853691552034396
8233.T,2018-05-24,0.010138565537779452
8267.T,2018-05-24,0.010426634435337392
3382.T,2018-05-25,0.02510262347463705
3086.T,2018-05-28,0.004449420023112345
6506.T,2018-05-30,-0.016159435240533912
9602.T,2018-05-30,-0.017171132400700485
6532.T,2018-05-31,-0.06486850390837282
7741.T,2018-06-08,-0.006285153123430638
8697.T,2018-06-13,0.021565539798282126
6861.T,2018-06-14,0.0020459361461592253
4503.T,2018-06-15,0.013841844118399595
3099.T,2018-06-18,0.010467154865653692
4568.T,2018-06-18,0.09327243337789691
4689.T,2018-06-18,-0.014766842110718634
6301.T,2018-06-18,-0.06210874074164041
7832.T,2018-06-18,0.04471795809587389
2768.T,2018-06-19,-0.0009628634910429333
4506.T,2018-06-19,-0.00824086543606687
6758.T,2018-06-19,0.0352066977601144
8035.T,2018-06-19,-0.03389711313650275
3401.T,2018-06-20,-0.014721188778172549
4507.T,2018-06-20,0.013662352907370914
4523.T,2018-06-20,-0.006384080303875996
4902.T,2018-06-20,0.002427928920838521
6098.T,2018-06-20,0.028840675581263114
6645.T,2018-06-20,0.0018007475518979224
6902.T,2018-06-20,0.01949078590194029
7186.T,2018-06-20,-0.07744593601181021
7267.T,2018-06-20,-0.026316535565344447
8253.T,2018-06-20,-0.001868706038083914
9101.T,2018-06-20,-0.02832033310796173
9201.T,2018-06-20,-0.03385764816192085
4005.T,2018-06-21,0.022049732979259322
4061.T,2018-06-21,0.0002600573286993084
5406.T,2018-06-21,-0.05882631070455083
5411.T,2018-06-21,-0.01980926407950076
6594.T,2018-06-21,-0.018059335565396406
6753.T,2018-06-21,-0.05123113371553946
7011.T,2018-06-21,-0.024936432696239928
8015.T,2018-06-21,-0.006286567537074
8031.T,2018-06-21,-0.029973249440724485
9107.T,2018-06-21,-0.036684238823492143
9433.T,2018-06-21,0.005688164251439654
9984.T,2018-06-21,0.021765536904288722
5711.T,2018-06-22,0.02179364588537593
5801.T,2018-06-22,0.017191344261393716
6471.T,2018-06-22,0.030212439305252546
6770.T,2018-06-22,0.011348390073424253
6988.T,2018-06-22,-0.019440035372853503
7013.T,2018-06-22,-0.03059270691583969
7211.T,2018-06-22,0.007431437095211196
8001.T,2018-06-22,-0.02681471539085431
8002.T,2018-06-22,-0.026050191071874503
8053.T,2018-06-22,-0.03493559097147633
8058.T,2018-06-22,-0.006018299731047896
8766.T,2018-06-22,-0.017551996334293073
9001.T,2018-06-22,-0.016371466085655036
9020.T,2018-06-22,-0.003344207461651245
9021.T,2018-06-22,0.029247543594121538
9022.T,2018-06-22,-0.016045316674305497
9064.T,2018-06-22,-0.05080988341108657
2432.T,2018-06-25,-0.006472560401615942
4043.T,2018-06-25,0.008071517198060173
4543.T,2018-06-25,-0.05878749771471241
6701.T,2018-06-25,-0.023974274621640892
6702.T,2018-06-25,0.011736640174389103
7203.T,2018-06-25,-0.04515966148366396
7270.T,2018-06-25,-0.03344255723676811
8252.T,2018-06-25,0.010406366362387707
8725.T,2018-06-25,6.072400071227514e-05
1721.T,2018-06-26,0.0023958188824036615
2801.T,2018-06-26,0.0016986385053997868
2802.T,2018-06-26,0.012786987339680193
2871.T,2018-06-26,0.016764507905151754
3402.T,2018-06-26,0.0017304679225720165
4183.T,2018-06-26,0.03773209204403602
4188.T,2018-06-26,0.02764367897396275
5333.T,2018-06-26,0.011315963130458526
5401.T,2018-06-26,0.019619726125346088
5713.T,2018-06-26,0.0077953686244726945
5714.T,2018-06-26,0.0323660591389921
6103.T,2018-06-26,0.008602070481870923
6305.T,2018-06-26,-0.03280660108143797
6504.T,2018-06-26,0.006074365465706361
6841.T,2018-06-26,0.04175759230397457
6971.T,2018-06-26,0.012454896894668343
7205.T,2018-06-26,0.00993045511157786
7733.T,2018-06-26,0.01973866610731667
7951.T,2018-06-26,-0.04659157535740871
8308.T,2018-06-26,0.005525931630087895
9104.T,2018-06-26,0.024696447753812353
9735.T,2018-06-26,0.02238212218937825
1332.T,2018-06-27,0.02922700553064996
1605.T,2018-06-27,0.04818721948126793
1802.T,2018-06-27,0.029041058862049666
1812.T,2018-06-27,0.02153633896478975
